Unique_ID,Product_URL,Product_Title,Brand,Model,Specifications,No_of_Ratings,No_of_Reviews,Overall_Rating,Average_Rating,Review_Titles,Review_Texts
62,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/product-reviews/itmce54714ae1cd8?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop Reviews,Lenovo,IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U,16 GB/512 GB SSD/Windows 11 Home,1882,147,4.2,4.4,excellent for this priceconfiguration simply awesome valueformoney and for developer 16gb is a good option awesome pretty good great product classy product good worth the money very good,lenovo ideapad ryzen hexa core u gb gb ssd win home excellent equalent intel i th gengb ram sleek design powerful enough generic useofficestudents gamingincludes ms office also nicebatter hours exaggerationdisplay nits better hp similar variant nitsflikpar delivered next day afternoon bangalore folks its great it great value money its month bought gb version a perfect laptop developer less key travel backlit keyboard ips display getting around hrs battery backup vs code browser overall good value money performance pretty decent light gaming handling multi tasking smoothly like vs code running two browser side side lots tab open also run another third party app overall running smoothly compiles code fast it good product hea this laptop good everyday use one thing notable battery life thay say hours hours running use battery get bellow good product also back light keybord it first laptop i found worth price i got laptop like k using bank discounts honest laptop comes good packaging company sleek good design overall the processor quite good flagship level entry level laptop display like good u watch movies nicely problems allthe thing found little disappointing speakers quite low u external speakers wear very good product students official works excellent performance i play many games without lag of course gaming laptop fulfills requirement without buying gaming laptop laptop performance good no issues far disappointed i didnt get laptop backlit keyboardadvice make sure delivery check keyboards spacebar sun type if backlit else noprobably one sure whether gb ram gb ram one backlit good productone charged around performed hours nice product
41,https://www.flipkart.com/hp-255-g10-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-250-thin-light-laptop/product-reviews/itmac0cd52f844ae?pid=COMH743DRRNQYDSH&lid=LSTCOMH743DRRNQYDSHWKCNLQ&marketplace=FLIPKART&page=2,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Light Laptop Reviews,HP,255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,8 GB/512 GB SSD/Windows 11 Home,133,15,4.3,5.0,unsatisfactory highly recommended super worth every penny wonderful,very poor quality best studentsbest official use good very very good superb laptop range got just loved battery backup also good hrs easily normal usage this laptop complete package price fully value money product hp
41,https://www.flipkart.com/hp-255-g10-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-250-thin-light-laptop/product-reviews/itmac0cd52f844ae?pid=COMH743DRRNQYDSH&lid=LSTCOMH743DRRNQYDSHWKCNLQ&marketplace=FLIPKART,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Light Laptop Reviews,HP,255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,8 GB/512 GB SSD/Windows 11 Home,133,15,4.3,4.6,terrific purchase really nice terrific must buy delightful delightful excellent does the job great product worth every penny,best laptop normal usage budget best backlit keyboard awesome design very nice gadget nice laptop k backlit numeric keyboard hp this best laptop brand hpthis personal experience smooth working fast open windowsabout information product contact all good till except front camera poor quality it better somehowbattery goodperformance gooddesign keyboard blacklist perfect nice product budget laptop good performancebattery backup low excellent price range product good
41,https://www.flipkart.com/hp-255-g10-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-250-thin-light-laptop/product-reviews/itmac0cd52f844ae?pid=COMH743DRRNQYDSH&lid=LSTCOMH743DRRNQYDSHWKCNLQ&marketplace=FLIPKART&page=10,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Light Laptop Reviews,HP,255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,8 GB/512 GB SSD/Windows 11 Home,133,15,4.3,4.6,Unknown,Unknown
71,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/product-reviews/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4MBHZ27&marketplace=FLIPKART,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop Reviews,SAMSUNG,Galaxy Book4 Intel Core i5 13th Gen 1335U,16 GB/512 GB SSD/Windows 11 Home,4620,411,4.5,4.9,terrific purchase fabulous awesome nice product must buy brilliant just wow perfect product just wow excellent,that nice laptop price find laptop college work choice laptopbattery hoursdisplay performance gaming office workcoding has great purchase got k card offers and price couldnt asked anything better a perfect allrounderpros premium build good speakers turn dolby atmos battery life fairly decent i keep charging life capped get option like samsung phones that actually keeps battery life better my battery cycle generally gives around hrs sot if charge might ge battery good it feels premium if looking go itoverall competition love one i got laptop k genvalue money good product good design performance comparing brands slightly expensive i got attractive offers samsung master technologies never doubt samsung i bought sale bank offer k gb best laptop price range overall performance amazing the battery decent one problem speaker grill present base laptop sound coming properly use bed lap table goodi like build quality laptop much full macbook vibe product slim good coders creatorsespecially college students battery good per price latest processor amazing product great performance sleek designvery satisfied purchase slim body simple design looks great
71,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/product-reviews/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4MBHZ27&marketplace=FLIPKART&page=10,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop Reviews,SAMSUNG,Galaxy Book4 Intel Core i5 13th Gen 1335U,16 GB/512 GB SSD/Windows 11 Home,4620,411,4.5,4.8,mindblowing purchase mindblowing purchase terrific purchase terrific purchase worth the money worth the money terrific purchase wonderful terrific purchase terrific purchase,best laptop price range value money stars very good laptop display goodperformance enough normal usagedesign feels premiumi got k think value money just received samsung book gen gb ram so far working fine will review month best deal good look laptop good fan sound come best value money budget k metal body fingerprint awsome nice product samsung
3,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/product-reviews/itm10514ecd2a794?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) FA566NFR-HN260W Gaming Laptop Reviews,ASUS,TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050,627,46,4.2,4.1,valueformoney nice terrific purchase really nice pretty good mindblowing purchase good delightful good choice best in the market,good product performance good but battery drains fast hrs normal usage disappointed superb its days since i bought laptop price k its best range price overall performance design displayonly issue battery life great justified gaming laptop heating issues required good packaging laptop good here review using last monthsperformance really good i havent got gitter lag the battery drains really fast use normal tasks like browsing light coding office applications like ms office lasts hours put heavy tasks like music production video editing gaming etc plug charger performance web camera quality really pathetic person rea value money best quality display work without hang lag overroll performance good bettery backup poor arround hour this laptop good bought around k i purchase laptop k bugget good product windows installation date jully whenever i bought product october aware go offline value money kto get battery performance use battery optimize options overall asus tuf a good type work like multiple tasks gaming etcbut one disappointed battery backup battery backup really good otherwise use laptop charging connect enjoy full potential
3,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/product-reviews/itm10514ecd2a794?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&page=5,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) FA566NFR-HN260W Gaming Laptop Reviews,ASUS,TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050,627,46,4.2,4.0,really nice worst experience ever good choice wonderful delightful good quality product,everything perfectexcept battery overall impressive battery goes around hours normal uses i bought k gb varient very good laptop price range battery backup hours normal task like web bowsing video playing laptop doesnt i gpu battery drain really fast leptop fine value money battery backup low fine happy purchase leptop good deal
14,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/product-reviews/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop Reviews,Acer,Aspire 3 Intel Celeron Dual Core,8 GB/512 GB SSD/Windows 11 Home,189,26,3.9,4.2,terrific purchase just okay excellent good choice good good choice does the job excellent mindblowing purchase terrific,value money for ms office browsing roaming best laptop value money compact functional laptop price rangegood average use including browsing ms office basic multimedia usage screen size small for normal usage value money not good not bad just basically purpose very good good daily work the product good daily use childrenmain issue battery backup
14,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/product-reviews/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&page=3,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop Reviews,Acer,Aspire 3 Intel Celeron Dual Core,8 GB/512 GB SSD/Windows 11 Home,189,26,3.9,4.7,dont waste your money wonderful brilliant best in the market unsatisfactory waste of money,very bad quality please dont buy q according price good cemara cheap quality go loved product screen size less quality pooer
