Unique_ID,Product_URL,Product_Title,Model,Colour,No_of_Ratings,No_of_Reviews,Overall_Rating,Average_Rating,Price,Storage_GB,Review_Titles,Review_Texts,Price_Category,Review_Word_Count,Price_Range,Review_Length,Review_Title_Sentiment,Sentiment_Label,Review_Sentiment,Sentiment_Num,Sentiment_Code,Model_Code,Color_Code
21,https://www.flipkart.com/motorola-g05-forest-green-64-gb/product-reviews/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART,"MOTOROLA g05 (Forest Green, 64 GB) Reviews",MOTOROLA g05,Forest Green,5105.0,413.0,4.3,4.4,6999.0,64,great product terrific terrific purchase just wow must buy worth the money wonderful good choice decent product for the price decent product,sound good good work motorola worth money good worth itfront camera rear camera designer display performance very nice best phonebattery gooddisplay good hzcamera also good priceperformance ok daily using appsnot recommended gaming overall good price range camera awesome mobile like budget segment phone design camera quality speaker quality display ui performance everything top notch complaintsbut cons areno ir sensorslow chargingthats itoverall best segment the device lags times slow charging significantly slow day day tasks but good display decent ui basics well doesnt look like k phone the w charger it comes w standard adapter charging charging takes quite bit time mobile good price range battery charger slow,5K-10K,107,5K-10K,107,Positive,2,Positive,1,1,16,18
21,https://www.flipkart.com/motorola-g05-forest-green-64-gb/product-reviews/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&page=10,"MOTOROLA g05 (Forest Green, 64 GB) Reviews",MOTOROLA g05,Forest Green,5105.0,413.0,4.3,4.7,6999.0,64,fair worth every penny terrific best in the market worth every penny moderate perfect product super terrific purchase valueformoney,overall phone good but specifications like battary mah mah charger watt watt this phone best price best value money ph grt quality feature battery charging slowly darin quicklymobile ok battery performance good super product quality mobile bettry future best good product nice workingcamera quality goodbattery capacity amazing outstanding product nice motorola,5K-10K,51,5K-10K,51,Positive,2,Positive,1,1,16,18
44,https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/product-reviews/itm1a53e8f5191db?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZSNA9KS&marketplace=FLIPKART,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB) Reviews",SAMSUNG Galaxy M35 5G,DayBreak Blue,8384.0,635.0,4.4,4.8,18999.0,128,awesome mindblowing purchase perfect product highly recommended mindblowing purchase brilliant very good fabulous excellent good quality product,the camera quality awesome display also awesomethe battery life awesomebut one problem u cant heavy gamesallrounder phone too good phone bigg display ossm expressions i i gave reresentating price point k monster samsungi know u get realme poco nothing options beleive premium always premiumthis first device samsung low range os one ui faster fluid premium seres features added samsung made compromise device first timeu getting bixby bixby features generally u get high range seres best phone in budget range so good phone best product rely all rounder phone time really good phone i got kthanks flipkartcharger box i ordered flipkart back cover phonephone speaker stereo bass good sound loud clear camera super hit phone ignore critiques blindly go phone you wont get complete phone not gamers samsung outdone one ive used google pixels almost years phones samsung leagues ahead android for k commendable give os years security updates,15K-20K,148,15K-25K,148,Positive,2,Positive,1,1,36,14
44,https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/product-reviews/itm1a53e8f5191db?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZSNA9KS&marketplace=FLIPKART&page=10,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB) Reviews",SAMSUNG Galaxy M35 5G,DayBreak Blue,8384.0,635.0,4.4,5.0,18999.0,128,awesome just wow best in the market best in the market wonderful must buy classy product wonderful highly recommended highly recommended,everything perfect segment camera also very good osame phone display best quality flipkart delivery boy greater service friendly behaviour thanks flipkart budget segmentno phone samsung br omg mobile im satisfieddem good k best phone best budget everything great model nice very nice mobile over excellent,15K-20K,45,15K-25K,45,Positive,2,Positive,1,1,36,14
56,https://www.flipkart.com/realme-c61-safari-green-128-gb/product-reviews/itmd6ddbcefce040?pid=MOBHFRKRAVXUKDGX&lid=LSTMOBHFRKRAVXUKDGX3LF6Z6&marketplace=FLIPKART,"realme C61 (Safari Green, 128 GB) Reviews",realme C61,Safari Green,9263.0,283.0,4.4,4.4,8499.0,128,simply awesome mindblowing purchase just wow does the job super delightful must buy must buy does the job valueformoney,good look very nice product goodthank flipkart for best delivery find best device under this price review week used battery camra display ui perfomance charging minute feature wise not good not enough feature per android time load starting boot timing slow very slow bloating yes apps disable remove sound loud clear enough mic loudspeaker stereo sound suggestion if youre battery lover go itdisappointed i dont like g awesome thanks flipkart good phone battery backup good very good nice wass gifts father ok good,5K-10K,83,5K-10K,83,Positive,2,Positive,1,1,44,39
56,https://www.flipkart.com/realme-c61-safari-green-128-gb/product-reviews/itmd6ddbcefce040?pid=MOBHFRKRAVXUKDGX&lid=LSTMOBHFRKRAVXUKDGX3LF6Z6&marketplace=FLIPKART&page=10,"realme C61 (Safari Green, 128 GB) Reviews",realme C61,Safari Green,9263.0,283.0,4.4,4.8,8499.0,128,must buy terrific awesome great product just okay wonderful very poor very poor highly recommended fabulous,good only purchase mh battery best phone camera mp all good not bad good very bad phone slow awesome okay i,5K-10K,21,5K-10K,21,Positive,2,Positive,1,1,44,39
34,https://www.flipkart.com/poco-c75-5g-silver-stardust-64-gb/product-reviews/itm8e3f17ac2e724?pid=MOBH74433ZER9U4P&lid=LSTMOBH74433ZER9U4PIUMZCQ&marketplace=FLIPKART,"POCO C75 5G (Silver Stardust, 64 GB) Reviews",POCO C75 5G,Silver Stardust,11599.0,707.0,4.3,4.7,7999.0,64,great product very good classy product highly recommended worth every penny must buy classy product good choice valueformoney great product,only best g smartphone enough budgetloved gift grandmother no back case w charger provided in description mentioned w charger box back case also good parents design amazing camera decentpicture quality amazing good normal user just osm this phone nice super shaandaar products i would say really best phone at price getting totally phenomenal camera average battery awesome performance also awesome one thing could better charger given watts box but still charged another chargerperformance camera display battery nice but given w charger said give w disappointing look awesom good product price no back case box w charger box on time delivery flipkart good products,5K-10K,103,5K-10K,103,Positive,2,Positive,1,1,28,41
34,https://www.flipkart.com/poco-c75-5g-silver-stardust-64-gb/product-reviews/itm8e3f17ac2e724?pid=MOBH74433ZER9U4P&lid=LSTMOBH74433ZER9U4PIUMZCQ&marketplace=FLIPKART&page=10,"POCO C75 5G (Silver Stardust, 64 GB) Reviews",POCO C75 5G,Silver Stardust,11599.0,707.0,4.3,5.0,7999.0,64,excellent terrific terrific highly recommended super just wow simply awesome brilliant great product highly recommended,the display large immersive making gaming streaming videos absolute pleasure huge display wavy backside make hit outer body the display quality fantastic price range the brightness levels excellent even outdoors i use phone work entertainment battery keeps network quality top notch i love i go entire day without even thinking charging the battery optimization point the poco c g supports multiple gestures i find super useful onehanded operation it makes phone feel intuitive convenient what sets poco c g apart excellent sound quality watching videos listening music treat clear balanced audio speakers i love storage options available poco c g it comes plenty space apps media expandable storage nice addition the poco c g great software features the hyperos skin offers smooth navigation customizations make feel like phone tailored preferences with powerful chipset phone handles apps games without breaking sweat the display adds smooth experience providing bright clear visuals thanks efficient processor phone handles tasks effortlessly i love vibrant display well making every image video look fantastic,5K-10K,167,5K-10K,167,Positive,2,Positive,1,1,28,41
28,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-violet-128-gb/product-reviews/itma30cb38861d4c?pid=MOBH2Q4PGYYZDSRR&lid=LSTMOBH2Q4PGYYZDSRRJXREQR&marketplace=FLIPKART,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB) Reviews",OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box,Midnight Violet,129059.0,4630.0,4.5,4.9,14999.0,128,just wow must buy terrific purchase worth every penny fabulous pretty good wonderful classy product wonderful mindblowing purchase,nice phone under this range fully satisfy battry backup is awesome superb mobile nice designbattery performance good fabulous condition nice camera nice battery good looking battery backup good camera quality batter nice processor bgmiprice range allover best good love mobile looks good sturdy claimed for normal user best one drawback display if provided full hd display wouldve killer good pricedisplay quality averagebattery good very good photo awesome mobile oppo kx g valuable product excellent feautures camera quality good ui better older oppo products,10K-15K,83,10K-15K,83,Positive,2,Positive,1,1,22,31
28,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-violet-128-gb/product-reviews/itma30cb38861d4c?pid=MOBH2Q4PGYYZDSRR&lid=LSTMOBH2Q4PGYYZDSRRJXREQR&marketplace=FLIPKART&page=10,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB) Reviews",OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box,Midnight Violet,129059.0,4630.0,4.5,4.3,14999.0,128,very good worth the money great product brilliant valueformoney wonderful terrific purchase good choice delightful worth the money,nice phone budget display fhd nice phone i loved oppo mobile great performance like batterydisplay camera smooth processor using oppo f last years lagging issuegreat phone go oppo phone undoubtedly very good mobile phone price cameradisplay battery look build quality overall good mobile phone best g mobile price i love over good as user oppo kx g stands dependable performance robust battery life the hz display offers smooth visuals making enjoyable gaming streaming content the phones camera system reliable everyday photography especially useful features like dual view video vlogging with fast charging longlasting battery life phone wont worry charging often the software userfriendly oppo promises regular u display resolution awesome smoothly working camera future camerabattery display in price rangedesign performance cool good,10K-15K,122,10K-15K,122,Positive,2,Positive,1,1,22,31
