Unique_ID,Product_URL,Product_Title,Brand,Model,Specifications,WiFi_Type,Colour,No_of_Ratings,No_of_Reviews,Overall_Rating,Average_Rating,Review_Titles,Review_Texts
39,https://www.flipkart.com/samsung-galaxy-tab-a9-8-gb-ram-128-rom-11-0-inch-wi-fi-5g-tablet-graphite/product-reviews/itm3b83242b6ce5a?pid=TABGTF4G3RPUDTVQ&lid=LSTTABGTF4G3RPUDTVQLWSBOL&marketplace=FLIPKART,SAMSUNG Galaxy Tab A9+ 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi+5G Tablet (Graphite) Reviews,SAMSUNG,Galaxy Tab A9+,8 GB RAM 128 GB ROM 11.0 inch,Wi-Fi+5G,Graphite,21349,845,4.5,4.9,very good just wow brilliant perfect product highly recommended highly recommended awesome worth every penny highly recommended super,best tablet budget review daysdisplay battery camera performance i brought gb varient no lag issue after using days i definitely say go price range one best love product best product price such nice tablet price range nice performance using hd display enjoy movies videosgo always i love samsung products this tablet awesome price range g model g work like rocketdisplay good brightness also good outdoortouch sound good samsung tablets touch sensitive boost option work well glass alsoi ordered tablet tradingalso seller good received products good condition good packagingthanks flipkart large displayexcellent battery backup quality superbit completely value moneyfeeling good watching contentif u want casual use must go this tablet fantastic learning features working seamlessly however i notice jio network slower device compared iphone network runs fast its minor drawback ive found using days overall comparing tablets market one absolutely worth hardearned moneyi hope honest review helps making purchase decision good product per budget got k diwali sell at price best tablet gbgb g battery backup good as per trading purposed good experience
39,https://www.flipkart.com/samsung-galaxy-tab-a9-8-gb-ram-128-rom-11-0-inch-wi-fi-5g-tablet-graphite/product-reviews/itm3b83242b6ce5a?pid=TABGTF4G3RPUDTVQ&lid=LSTTABGTF4G3RPUDTVQLWSBOL&marketplace=FLIPKART&page=10,SAMSUNG Galaxy Tab A9+ 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi+5G Tablet (Graphite) Reviews,SAMSUNG,Galaxy Tab A9+,8 GB RAM 128 GB ROM 11.0 inch,Wi-Fi+5G,Graphite,21349,845,4.5,4.3,perfect product very good delightful wonderful valueformoney worth every penny super good choice really nice very good,nice performance lag issue good product im using after year take feed back good good good product extensively good value money amazingtop level performance product good samsung launcher lagging cache clear good
50,https://www.flipkart.com/realme-pad-2-lite-8-gb-ram-128-rom-11-0-inch-4g-tablet-nebula-purple/product-reviews/itm963316f78a59e?pid=TABH4E3HRXYYGPKN&lid=LSTTABH4E3HRXYYGPKNQBLH1Z&marketplace=FLIPKART,realme Pad 2 Lite 8 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Nebula Purple) Reviews,realme,Pad 2 Lite,8 GB RAM 128 GB ROM 11.0 inch,4G Tablet,Nebula Purple,2979,259,4.4,4.5,brilliant worth every penny wonderful worth the money good perfect product just wow awesome pretty good terrific,super budget pad daily use if students definitely buy tablet good lectures display quality also goodin price best take lecture students light use may help school project budget price today i received thisbest value money over good mm audio jack mind blowing good product price good product thanks realme nice productvalue money super
50,https://www.flipkart.com/realme-pad-2-lite-8-gb-ram-128-rom-11-0-inch-4g-tablet-nebula-purple/product-reviews/itm963316f78a59e?pid=TABH4E3HRXYYGPKN&lid=LSTTABH4E3HRXYYGPKNQBLH1Z&marketplace=FLIPKART&page=10,realme Pad 2 Lite 8 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Nebula Purple) Reviews,realme,Pad 2 Lite,8 GB RAM 128 GB ROM 11.0 inch,4G Tablet,Nebula Purple,2979,259,4.4,4.7,perfect product nice product excellent just wow must buy wonderful nice product great product worth every penny very good,nice pad very nice product product of pricing is very very awesomefeatures is very awesome this price is best tablet k thank flipkart very nice product thanks flip that tab good use purpose must try tab best buy worth worth money this budget segment tab dont expect muchbutunder k value money everything ok pricemy rating good product good good product
30,https://www.flipkart.com/oneplus-pad-go-8-gb-ram-128-rom-11-35-inch-4g-tablet-twin-mint/product-reviews/itmc6301daa35b04?pid=TABGTHGMHFXPZGNU&lid=LSTTABGTHGMHFXPZGNUTOOFKX&marketplace=FLIPKART,OnePlus Pad Go 8 GB RAM 128 GB ROM 11.35 inch with 4G Tablet (Twin Mint) Reviews,OnePlus,Pad Go,8 GB RAM 128 GB ROM 11.35 inch,4G Tablet,Twin Mint,13869,901,4.5,4.9,awesome mindblowing purchase terrific purchase best in the market great product wonderful just wow highly recommended worth the money awesome,nice product price range good displaygood performancebest buygood battery life fast charging nice build qualityat price range this tab value money ok im writing review days use launch preorder display in one side oneplus says thas supporting k side real supporting kk vedio playing properly afer time flash message could playi think would play phone vedio playing properly phone display works pbattery battery well performed previous days apps apps adjustment if looking budget tablet confused one buy look buy one screen quality nice sound quality i bet beats apple th gen far it gives gb option increase using sd card why would somebody stuck gb i heavy download videos offline gb almost gb used os in android world oneplus oxygen os stands no bloatware clean fast also promised yrs updates people best tab trading chart awesome display cod game play also superb lags handle big games nicely super displaybattery sound quality tab good battery backup decent its slim shining performance also good best tab students
30,https://www.flipkart.com/oneplus-pad-go-8-gb-ram-128-rom-11-35-inch-4g-tablet-twin-mint/product-reviews/itmc6301daa35b04?pid=TABGTHGMHFXPZGNU&lid=LSTTABGTHGMHFXPZGNUTOOFKX&marketplace=FLIPKART&page=10,OnePlus Pad Go 8 GB RAM 128 GB ROM 11.35 inch with 4G Tablet (Twin Mint) Reviews,OnePlus,Pad Go,8 GB RAM 128 GB ROM 11.35 inch,4G Tablet,Twin Mint,13869,901,4.5,4.9,simply awesome perfect product perfect product brilliant great product fabulous terrific really nice classy product must buy,very much satisfying product awesome nycc product loved very good productvalue moneyvery smooth handle ram work flawlesslyprocessor also good small business workgood entertainment gaming i didnt feel lagdrawback feels slight heavy operate single hand excellent i like muchi totally give five five best pad value money excellent product smooth running speed fast nice tab looking fabulous justified price oneplus tab go value money tab according brand name oneplusits performance satisfactory this awesome product price range
32,https://www.flipkart.com/redmi-pad-pro-5g-8-gb-ram-256-rom-12-1-inch-wi-fi-5g-tablet-quick-silver/product-reviews/itme5470439f0ab0?pid=TABH32JHBY4FXCNR&lid=LSTTABH32JHBY4FXCNR0TS1S7&marketplace=FLIPKART,REDMI  Pad Pro 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Quick Silver) Reviews,REDMI,Pad Pro 5G,8 GB RAM 256 GB ROM 12.1 inch,Wi-Fi+5G,Quick Silver,2229,158,4.4,4.7,really nice fabulous mindblowing purchase worth every penny excellent really nice mindblowing purchase very good worth every penny classy product,large screen light weight smooth touch screen good video quality just got delivered yesterday product great the display wonderful works like breeze till issue hope work fine acording favourite brand i love one i waited long comes trueafter using redmi pad pro g tablet weeks i like ones perfermence smooth faster camera goodthe battery average mentioned long duration battery i dont think sothis tablet also good studentsoverall i like one i think expensive way bye i ordered trading purpose for product great battery lasts days i using hz dark theme want much longer battery life use hz nothing complained fine the best option budgeti bought gb ram gb card offerhighlights large display g sim support stylus support battery suitable note making entertainment alsoconsi think doesnt cons price range detailed review using daysthis review planning buy tablet first timedisplayprodisplay very good colour decent watching ott movie much satisfactory talk quality p this tab support k pixels play upto k videoconcan play k videosdont expect amoled type quality still goodverdict very much satisfactoryrating starsosprocessorprofast gbno laggingandroid la the screen size good value money disadvantage dont give touch pen pros display awesome camera good battery goodcons in todays time every second person uses jio g network doesnt support jio g it supports jio g network if one wants use g sim need switch network jio airtel supports airtel g network the product awesome i one update in case anybody wants buy product let know i bought product st jan i bought brother since already bought laptop tab useful anymore so far goodi would say screen really good video shapreness thereso overall rating mego entertainment office use
32,https://www.flipkart.com/redmi-pad-pro-5g-8-gb-ram-256-rom-12-1-inch-wi-fi-5g-tablet-quick-silver/product-reviews/itme5470439f0ab0?pid=TABH32JHBY4FXCNR&lid=LSTTABH32JHBY4FXCNR0TS1S7&marketplace=FLIPKART&page=10,REDMI  Pad Pro 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Quick Silver) Reviews,REDMI,Pad Pro 5G,8 GB RAM 256 GB ROM 12.1 inch,Wi-Fi+5G,Quick Silver,2229,158,4.4,4.5,does the job good perfect product mindblowing purchase worth the money great product just wow worth every penny mindblowing purchase fabulous,only display good overall tablet camera quality poor performance poor feel laggy high refresh rate myth even hz refresh rate work like hz want buy tablet entertainment purposes buy made editing share marketing very good product excellent it value moneyand useful students good one i love tab nice display good battery life amazing performance good speakers gives feel like theater watching movies etc over nice tab studentsfor entertainment good gamei purchased i fully satisfied nice product like product best configuration value money product awesome pad performance super duper
31,https://www.flipkart.com/poco-pad-5g-8-gb-ram-256-rom-12-1-inch-wi-fi-5g-tablet-cobalt-blue/product-reviews/itm08b56574bfddc?pid=TABH3QBCKDGREXER&lid=LSTTABH3QBCKDGREXERBBDWY4&marketplace=FLIPKART,POCO Pad 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Cobalt Blue) Reviews,POCO,Pad 5G,8 GB RAM 256 GB ROM 12.1 inch,Wi-Fi+5G,Cobalt Blue,4325,383,4.4,4.5,mindblowing purchase worth the money new benchmark for tablets good but battery life is big issue wonderful simply awesome pretty good worth every penny must buy good quality product,performance good displays also good battery backup poor battery backup verey low drain speed battery biggest minusother wise performance super great display smooth ui no issues everyday apps split screen useful some reviews criticizing battery life large vibrant display like comparison inch laptop smartphone much smaller display oled efficiency from perspective battery life bad satisfactory battery performance standby mode saw battery drain no sim wifi i away day tripif first tablet go performance chipset build quality awesomecamera averageonly issue battery back up mah battery last hours continuous usage maybe software update help better battery management poco history motherboard issues smart phone year usage hope case pad totally value money k hardcore gaming display sharp battery good dont know people blaming play game inch display absolutely face battery drain issue battery usses processer display avoid gaming battery good problemedit uses battery last upto days study casual uses gaming tab working goodi bought reading booksscreen good reading medical textbooksi wish smart pen available soon use note function ecxelent tab।। all features good dont think much u need one tablet great display features batterystylus support go am using without sim currently found good battery backup also whole night drop great deal best tab ever received today first impression greatthe look quite good screen quality sound awesomewill update time everything seems fine
31,https://www.flipkart.com/poco-pad-5g-8-gb-ram-256-rom-12-1-inch-wi-fi-5g-tablet-cobalt-blue/product-reviews/itm08b56574bfddc?pid=TABH3QBCKDGREXER&lid=LSTTABH3QBCKDGREXERBBDWY4&marketplace=FLIPKART&page=10,POCO Pad 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Cobalt Blue) Reviews,POCO,Pad 5G,8 GB RAM 256 GB ROM 12.1 inch,Wi-Fi+5G,Cobalt Blue,4325,383,4.4,4.8,absolute rubbish worth every penny super very good really nice terrific purchase super worth every penny fabulous terrific purchase,after day tablet dead screen working bad good functioning whoever wants take take get bond for entertainment productivity good camera ok poco focused front camera used online meetings redmi smart pen poco pen great add taking notes online presentation teaching overall fine tablet good good very good amazing product awesome purchase one best tablets i purchased though makes slightly heavy considering size still requirements facilities available better use good product reasonable price branded company favorite one it rather serve laptop considering size manoveurability working functions timely delivery good packaging flipkart i would appreciated fm radio facility also given
